"Seade","Mõõtmise aeg","veetase","vooluhulk","voolukiirus","Laekumise aeg"
"Muuli tee","29.02.2024 17:55","0.06 m","164.67 m³/h","","29.02.2024 17:57"
"Muuli tee","29.02.2024 17:50","0.06 m","152.86 m³/h","","29.02.2024 17:52"
"Muuli tee","29.02.2024 17:45","0.06 m","158.9 m³/h","","29.02.2024 17:47"
"Muuli tee","29.02.2024 17:40","0.06 m","164.54 m³/h","","29.02.2024 17:42"
"Muuli tee","29.02.2024 17:35","0.05 m","157.53 m³/h","","29.02.2024 17:37"
"Muuli tee","29.02.2024 17:30","0.06 m","152.86 m³/h","","29.02.2024 17:32"
"Muuli tee","29.02.2024 17:25","0.06 m","155.06 m³/h","","29.02.2024 17:27"
"Muuli tee","29.02.2024 17:20","0.06 m","152.86 m³/h","","29.02.2024 17:22"
"Muuli tee","29.02.2024 17:15","0.06 m","160.14 m³/h","","29.02.2024 17:17"
"Muuli tee","29.02.2024 17:10","0.06 m","151.48 m³/h","","29.02.2024 17:12"
"Muuli tee","29.02.2024 17:05","0.06 m","154.37 m³/h","","29.02.2024 17:07"
"Muuli tee","29.02.2024 17:00","0.06 m","161.1 m³/h","","29.02.2024 17:02"
"Muuli tee","29.02.2024 16:55","0.06 m","161.24 m³/h","","29.02.2024 16:57"
"Muuli tee","29.02.2024 16:50","0.06 m","152.86 m³/h","","29.02.2024 16:57"
"Muuli tee","29.02.2024 16:45","0.06 m","152.86 m³/h","","29.02.2024 16:47"
"Muuli tee","29.02.2024 16:40","0.06 m","158.77 m³/h","","29.02.2024 16:42"
"Muuli tee","29.02.2024 16:35","0.06 m","146.95 m³/h","","29.02.2024 16:37"
"Muuli tee","29.02.2024 16:30","0.05 m","161.1 m³/h","","29.02.2024 16:32"
"Muuli tee","29.02.2024 16:25","0.06 m","160.14 m³/h","","29.02.2024 16:27"
"Muuli tee","29.02.2024 16:20","0.06 m","154.09 m³/h","","29.02.2024 16:22"
"Muuli tee","29.02.2024 16:15","0.06 m","150.25 m³/h","","29.02.2024 16:17"
"Muuli tee","29.02.2024 16:10","0.06 m","158.9 m³/h","","29.02.2024 16:12"
"Muuli tee","29.02.2024 16:05","0.06 m","155.33 m³/h","","29.02.2024 16:07"
"Muuli tee","29.02.2024 16:00","0.06 m","150.52 m³/h","","29.02.2024 16:02"
"Muuli tee","29.02.2024 15:55","0.06 m","155.19 m³/h","","29.02.2024 15:57"
"Muuli tee","29.02.2024 15:50","0.05 m","152.58 m³/h","","29.02.2024 15:52"
"Muuli tee","29.02.2024 15:45","0.05 m","148.19 m³/h","","29.02.2024 15:47"
"Muuli tee","29.02.2024 15:40","0.06 m","161.24 m³/h","","29.02.2024 15:42"
"Muuli tee","29.02.2024 15:35","0.06 m","156.29 m³/h","","29.02.2024 15:37"
"Muuli tee","29.02.2024 15:30","0.05 m","156.29 m³/h","","29.02.2024 15:32"
"Muuli tee","29.02.2024 15:25","0.05 m","161.24 m³/h","","29.02.2024 15:27"
"Muuli tee","29.02.2024 15:20","0.06 m","161.38 m³/h","","29.02.2024 15:22"
"Muuli tee","29.02.2024 15:15","0.06 m","150.38 m³/h","","29.02.2024 15:17"
"Muuli tee","29.02.2024 15:10","0.05 m","153 m³/h","","29.02.2024 15:12"
"Muuli tee","29.02.2024 15:05","0.06 m","143.24 m³/h","","29.02.2024 15:07"
"Muuli tee","29.02.2024 15:00","0.06 m","145.85 m³/h","","29.02.2024 15:02"
"Muuli tee","29.02.2024 14:55","0.05 m","145.85 m³/h","","29.02.2024 14:57"
"Muuli tee","29.02.2024 14:50","0.06 m","164.67 m³/h","","29.02.2024 14:52"
"Muuli tee","29.02.2024 14:45","0.05 m","153 m³/h","","29.02.2024 14:47"
"Muuli tee","29.02.2024 14:40","0.05 m","155.33 m³/h","","29.02.2024 14:42"
"Muuli tee","29.02.2024 14:35","0.05 m","149.29 m³/h","","29.02.2024 14:37"
"Muuli tee","29.02.2024 14:30","0.05 m","149.15 m³/h","","29.02.2024 14:32"
"Muuli tee","29.02.2024 14:25","0.06 m","157.39 m³/h","","29.02.2024 14:27"
"Muuli tee","29.02.2024 14:20","0.06 m","156.43 m³/h","","29.02.2024 14:22"
"Muuli tee","29.02.2024 14:15","0.06 m","151.76 m³/h","","29.02.2024 14:17"
"Muuli tee","29.02.2024 14:10","0.05 m","143.24 m³/h","","29.02.2024 14:12"
"Muuli tee","29.02.2024 14:05","0.05 m","151.62 m³/h","","29.02.2024 14:07"
"Muuli tee","29.02.2024 14:00","0.05 m","153.82 m³/h","","29.02.2024 14:02"
"Muuli tee","29.02.2024 13:55","0.05 m","151.62 m³/h","","29.02.2024 13:57"
"Muuli tee","29.02.2024 13:50","0.06 m","157.53 m³/h","","29.02.2024 13:52"
"Muuli tee","29.02.2024 13:45","0.06 m","153 m³/h","","29.02.2024 13:47"
"Muuli tee","29.02.2024 13:40","0.05 m","155.19 m³/h","","29.02.2024 13:42"
"Muuli tee","29.02.2024 13:35","0.05 m","154.09 m³/h","","29.02.2024 13:37"
"Muuli tee","29.02.2024 13:30","0.06 m","151.76 m³/h","","29.02.2024 13:32"
"Muuli tee","29.02.2024 13:25","0.05 m","161.1 m³/h","","29.02.2024 13:27"
"Muuli tee","29.02.2024 13:20","0.06 m","155.19 m³/h","","29.02.2024 13:22"
"Muuli tee","29.02.2024 13:15","0.06 m","163.58 m³/h","","29.02.2024 13:17"
"Muuli tee","29.02.2024 13:10","0.06 m","150.38 m³/h","","29.02.2024 13:12"
"Muuli tee","29.02.2024 13:05","0.05 m","157.39 m³/h","","29.02.2024 13:07"
"Muuli tee","29.02.2024 13:00","0.06 m","155.33 m³/h","","29.02.2024 13:02"
"Muuli tee","29.02.2024 12:55","0.06 m","162.48 m³/h","","29.02.2024 12:57"
"Muuli tee","29.02.2024 12:50","0.05 m","151.62 m³/h","","29.02.2024 12:52"
"Muuli tee","29.02.2024 12:45","0.05 m","157.67 m³/h","","29.02.2024 12:47"
"Muuli tee","29.02.2024 12:40","0.05 m","159.87 m³/h","","29.02.2024 12:42"
"Muuli tee","29.02.2024 12:35","0.05 m","161.24 m³/h","","29.02.2024 12:37"
"Muuli tee","29.02.2024 12:30","0.05 m","153.96 m³/h","","29.02.2024 12:32"
"Muuli tee","29.02.2024 12:25","0.05 m","153.96 m³/h","","29.02.2024 12:27"
"Muuli tee","29.02.2024 12:20","0.06 m","151.76 m³/h","","29.02.2024 12:22"
"Muuli tee","29.02.2024 12:15","0.06 m","151.62 m³/h","","29.02.2024 12:17"
"Muuli tee","29.02.2024 12:10","0.06 m","163.44 m³/h","","29.02.2024 12:12"
"Muuli tee","29.02.2024 12:05","0.06 m","160.14 m³/h","","29.02.2024 12:07"
"Muuli tee","29.02.2024 12:00","0.06 m","152.86 m³/h","","29.02.2024 12:07"
"Muuli tee","29.02.2024 11:55","0.06 m","155.19 m³/h","","29.02.2024 11:57"
"Muuli tee","29.02.2024 11:50","0.06 m","153 m³/h","","29.02.2024 11:52"
"Muuli tee","29.02.2024 11:45","0.06 m","161.24 m³/h","","29.02.2024 11:47"
"Muuli tee","29.02.2024 11:40","0.06 m","156.29 m³/h","","29.02.2024 11:42"
"Muuli tee","29.02.2024 11:35","0.06 m","167.01 m³/h","","29.02.2024 11:37"
"Muuli tee","29.02.2024 11:30","0.06 m","155.33 m³/h","","29.02.2024 11:32"
"Muuli tee","29.02.2024 11:25","0.06 m","168.25 m³/h","","29.02.2024 11:27"
"Muuli tee","29.02.2024 11:20","0.06 m","160 m³/h","","29.02.2024 11:22"
"Muuli tee","29.02.2024 11:15","0.06 m","176.49 m³/h","","29.02.2024 11:17"
"Muuli tee","29.02.2024 11:10","0.06 m","160.14 m³/h","","29.02.2024 11:12"
"Muuli tee","29.02.2024 11:05","0.06 m","162.48 m³/h","","29.02.2024 11:07"
"Muuli tee","29.02.2024 11:00","0.05 m","147.09 m³/h","","29.02.2024 11:02"
"Muuli tee","29.02.2024 10:55","0.05 m","151.62 m³/h","","29.02.2024 10:57"
"Muuli tee","29.02.2024 10:50","0.05 m","145.58 m³/h","","29.02.2024 10:52"
"Muuli tee","29.02.2024 10:45","0.05 m","149.01 m³/h","","29.02.2024 10:47"
"Muuli tee","29.02.2024 10:40","0.05 m","157.53 m³/h","","29.02.2024 10:42"
"Muuli tee","29.02.2024 10:35","0.05 m","163.71 m³/h","","29.02.2024 10:37"
"Muuli tee","29.02.2024 10:30","0.05 m","145.58 m³/h","","29.02.2024 10:32"
"Muuli tee","29.02.2024 10:25","0.05 m","152.86 m³/h","","29.02.2024 10:27"
"Muuli tee","29.02.2024 10:20","0.05 m","150.52 m³/h","","29.02.2024 10:22"
"Muuli tee","29.02.2024 10:15","0.05 m","149.42 m³/h","","29.02.2024 10:17"
"Muuli tee","29.02.2024 10:10","0.05 m","153 m³/h","","29.02.2024 10:12"
"Muuli tee","29.02.2024 10:05","0.05 m","148.19 m³/h","","29.02.2024 10:07"
"Muuli tee","29.02.2024 10:00","0.05 m","150.66 m³/h","","29.02.2024 10:02"
"Muuli tee","29.02.2024 09:55","0.05 m","141.87 m³/h","","29.02.2024 09:57"
"Muuli tee","29.02.2024 09:50","0.05 m","142.28 m³/h","","29.02.2024 09:52"
"Muuli tee","29.02.2024 09:45","0.05 m","143.38 m³/h","","29.02.2024 09:47"
"Muuli tee","29.02.2024 09:40","0.05 m","144.61 m³/h","","29.02.2024 09:42"
"Muuli tee","29.02.2024 09:35","0.05 m","146.95 m³/h","","29.02.2024 09:37"
"Muuli tee","29.02.2024 09:30","0.05 m","144.61 m³/h","","29.02.2024 09:32"
"Muuli tee","29.02.2024 09:25","0.05 m","142 m³/h","","29.02.2024 09:27"
"Muuli tee","29.02.2024 09:20","0.05 m","133.9 m³/h","","29.02.2024 09:22"
"Muuli tee","29.02.2024 09:15","0.05 m","144.61 m³/h","","29.02.2024 09:17"
"Muuli tee","29.02.2024 09:10","0.05 m","138.57 m³/h","","29.02.2024 09:12"
