"Seade","Mõõtmise aeg","veetase","vooluhulk","voolukiirus","Laekumise aeg"
"Muuli tee","31.05.2024 15:05","0.02 m","35.24 m³/h","","01.07.2024 16:56"
"Muuli tee","31.05.2024 15:00","0.02 m","37.85 m³/h","","01.07.2024 16:56"
"Muuli tee","31.05.2024 14:55","0.02 m","39.09 m³/h","","01.07.2024 16:56"
"Muuli tee","31.05.2024 14:50","0.02 m","37.85 m³/h","","01.07.2024 16:56"
"Muuli tee","31.05.2024 14:45","0.02 m","35.24 m³/h","","01.07.2024 16:56"
"Muuli tee","31.05.2024 14:40","0.02 m","37.85 m³/h","","01.07.2024 16:56"
"Muuli tee","31.05.2024 14:35","0.02 m","37.72 m³/h","","01.07.2024 16:56"
"Muuli tee","31.05.2024 14:30","0.02 m","39.09 m³/h","","01.07.2024 16:56"
"Muuli tee","31.05.2024 14:25","0.02 m","35.11 m³/h","","01.07.2024 16:56"
"Muuli tee","31.05.2024 14:20","0.02 m","40.46 m³/h","","01.07.2024 16:56"
"Muuli tee","31.05.2024 14:15","0.02 m","37.85 m³/h","","01.07.2024 16:56"
"Muuli tee","31.05.2024 14:10","0.02 m","39.09 m³/h","","01.07.2024 16:56"
"Muuli tee","31.05.2024 14:05","0.02 m","37.85 m³/h","","01.07.2024 16:56"
"Muuli tee","31.05.2024 14:00","0.02 m","37.72 m³/h","","01.07.2024 16:56"
"Muuli tee","31.05.2024 13:55","0.02 m","36.48 m³/h","","01.07.2024 16:56"
"Muuli tee","31.05.2024 13:50","0.02 m","36.62 m³/h","","01.07.2024 16:56"
"Muuli tee","31.05.2024 13:45","0.02 m","35.11 m³/h","","01.07.2024 16:56"
"Muuli tee","31.05.2024 13:40","0.02 m","35.24 m³/h","","01.07.2024 16:56"
"Muuli tee","31.05.2024 13:35","0.02 m","36.62 m³/h","","01.07.2024 16:56"
"Muuli tee","31.05.2024 13:30","0.02 m","36.48 m³/h","","01.07.2024 16:56"
"Muuli tee","31.05.2024 13:25","0.02 m","37.99 m³/h","","01.07.2024 16:56"
"Muuli tee","31.05.2024 13:20","0.02 m","39.23 m³/h","","01.07.2024 16:56"
"Muuli tee","31.05.2024 13:15","0.02 m","37.85 m³/h","","01.07.2024 16:56"
"Muuli tee","31.05.2024 13:10","0.02 m","39.23 m³/h","","01.07.2024 16:56"
"Muuli tee","31.05.2024 13:05","0.02 m","35.24 m³/h","","01.07.2024 16:56"
"Muuli tee","31.05.2024 13:00","0.02 m","39.23 m³/h","","01.07.2024 16:56"
"Muuli tee","31.05.2024 12:55","0.02 m","41.84 m³/h","","01.07.2024 16:56"
"Muuli tee","31.05.2024 12:50","0.02 m","39.09 m³/h","","01.07.2024 16:56"
"Muuli tee","31.05.2024 12:45","0.02 m","39.37 m³/h","","01.07.2024 16:56"
"Muuli tee","31.05.2024 12:40","0.02 m","37.72 m³/h","","01.07.2024 16:56"
"Muuli tee","31.05.2024 12:35","0.02 m","40.6 m³/h","","01.07.2024 16:56"
"Muuli tee","31.05.2024 12:30","0.02 m","40.33 m³/h","","01.07.2024 16:56"
"Muuli tee","31.05.2024 12:25","0.02 m","40.6 m³/h","","01.07.2024 16:56"
"Muuli tee","31.05.2024 12:20","0.02 m","40.6 m³/h","","01.07.2024 16:56"
"Muuli tee","31.05.2024 12:15","0.02 m","35.24 m³/h","","01.07.2024 16:56"
"Muuli tee","31.05.2024 12:10","0.02 m","40.6 m³/h","","01.07.2024 16:56"
"Muuli tee","31.05.2024 12:05","0.02 m","39.23 m³/h","","01.07.2024 16:56"
"Muuli tee","31.05.2024 12:00","0.02 m","41.98 m³/h","","01.07.2024 16:56"
"Muuli tee","31.05.2024 11:55","0.02 m","41.7 m³/h","","01.07.2024 16:56"
"Muuli tee","31.05.2024 11:50","0.02 m","39.23 m³/h","","01.07.2024 16:56"
"Muuli tee","31.05.2024 11:45","0.02 m","40.6 m³/h","","01.07.2024 16:56"
"Muuli tee","31.05.2024 11:40","0.02 m","41.84 m³/h","","01.07.2024 16:56"
"Muuli tee","31.05.2024 11:35","0.03 m","44.59 m³/h","","01.07.2024 16:56"
"Muuli tee","31.05.2024 11:30","0.03 m","45.69 m³/h","","01.07.2024 16:56"
"Muuli tee","31.05.2024 11:25","0.03 m","45.82 m³/h","","01.07.2024 16:56"
"Muuli tee","31.05.2024 11:20","0.03 m","47.06 m³/h","","01.07.2024 16:56"
"Muuli tee","31.05.2024 11:15","0.03 m","49.53 m³/h","","01.07.2024 16:56"
"Muuli tee","31.05.2024 11:10","0.03 m","47.06 m³/h","","01.07.2024 16:56"
"Muuli tee","31.05.2024 11:05","0.03 m","44.31 m³/h","","01.07.2024 16:56"
"Muuli tee","31.05.2024 11:00","0.02 m","41.7 m³/h","","01.07.2024 16:56"
"Muuli tee","31.05.2024 10:55","0.02 m","44.59 m³/h","","01.07.2024 16:56"
"Muuli tee","31.05.2024 10:50","0.02 m","36.62 m³/h","","01.07.2024 16:56"
"Muuli tee","31.05.2024 10:45","0.02 m","37.85 m³/h","","01.07.2024 16:56"
"Muuli tee","31.05.2024 10:40","0.02 m","36.48 m³/h","","01.07.2024 16:56"
"Muuli tee","31.05.2024 10:35","0.02 m","39.23 m³/h","","01.07.2024 16:56"
"Muuli tee","31.05.2024 10:30","0.02 m","35.24 m³/h","","01.07.2024 16:56"
"Muuli tee","31.05.2024 10:25","0.02 m","39.37 m³/h","","01.07.2024 16:56"
"Muuli tee","31.05.2024 10:20","0.02 m","40.46 m³/h","","01.07.2024 16:56"
"Muuli tee","31.05.2024 10:15","0.02 m","38.95 m³/h","","01.07.2024 16:56"
"Muuli tee","31.05.2024 10:10","0.02 m","40.6 m³/h","","01.07.2024 16:56"
"Muuli tee","31.05.2024 10:05","0.02 m","40.46 m³/h","","01.07.2024 16:56"
"Muuli tee","31.05.2024 10:00","0.02 m","39.37 m³/h","","01.07.2024 16:56"
"Muuli tee","31.05.2024 09:55","0.02 m","37.99 m³/h","","01.07.2024 16:56"
"Muuli tee","31.05.2024 09:50","0.02 m","36.62 m³/h","","01.07.2024 16:56"
"Muuli tee","31.05.2024 09:45","0.02 m","37.85 m³/h","","01.07.2024 16:56"
"Muuli tee","31.05.2024 09:40","0.02 m","37.85 m³/h","","01.07.2024 16:56"
"Muuli tee","31.05.2024 09:35","0.02 m","39.23 m³/h","","01.07.2024 16:56"
"Muuli tee","31.05.2024 09:30","0.02 m","37.85 m³/h","","01.07.2024 16:56"
"Muuli tee","31.05.2024 09:25","0.02 m","37.85 m³/h","","01.07.2024 16:56"
"Muuli tee","31.05.2024 09:20","0.02 m","39.5 m³/h","","01.07.2024 16:56"
"Muuli tee","31.05.2024 09:15","0.02 m","41.84 m³/h","","01.07.2024 16:56"
"Muuli tee","31.05.2024 09:10","0.02 m","39.37 m³/h","","01.07.2024 16:56"
"Muuli tee","31.05.2024 09:05","0.02 m","39.37 m³/h","","01.07.2024 16:56"
"Muuli tee","31.05.2024 09:00","0.02 m","39.23 m³/h","","01.07.2024 16:56"
"Muuli tee","31.05.2024 08:55","0.02 m","40.74 m³/h","","01.07.2024 16:56"
"Muuli tee","31.05.2024 08:50","0.02 m","41.98 m³/h","","01.07.2024 16:56"
"Muuli tee","31.05.2024 08:45","0.02 m","40.74 m³/h","","01.07.2024 16:56"
"Muuli tee","31.05.2024 08:40","0.02 m","44.59 m³/h","","01.07.2024 16:56"
"Muuli tee","31.05.2024 08:35","0.02 m","41.84 m³/h","","01.07.2024 16:56"
"Muuli tee","31.05.2024 08:30","0.02 m","40.74 m³/h","","01.07.2024 16:56"
"Muuli tee","31.05.2024 08:25","0.02 m","40.74 m³/h","","01.07.2024 16:56"
"Muuli tee","31.05.2024 08:20","0.02 m","40.46 m³/h","","01.07.2024 16:56"
"Muuli tee","31.05.2024 08:15","0.02 m","36.62 m³/h","","01.07.2024 16:56"
"Muuli tee","31.05.2024 08:10","0.02 m","40.6 m³/h","","01.07.2024 16:56"
"Muuli tee","31.05.2024 08:05","0.02 m","34.14 m³/h","","01.07.2024 16:56"
"Muuli tee","31.05.2024 08:00","0.02 m","37.99 m³/h","","01.07.2024 16:56"
"Muuli tee","31.05.2024 07:55","0.02 m","35.52 m³/h","","01.07.2024 16:56"
"Muuli tee","31.05.2024 07:50","0.02 m","36.75 m³/h","","01.07.2024 16:56"
"Muuli tee","31.05.2024 07:45","0.02 m","39.5 m³/h","","01.07.2024 16:56"
"Muuli tee","31.05.2024 07:40","0.02 m","34.14 m³/h","","01.07.2024 16:56"
"Muuli tee","31.05.2024 07:35","0.02 m","38.13 m³/h","","01.07.2024 16:56"
"Muuli tee","31.05.2024 07:30","0.02 m","34.14 m³/h","","01.07.2024 16:56"
"Muuli tee","31.05.2024 07:25","0.02 m","40.6 m³/h","","01.07.2024 16:56"
"Muuli tee","31.05.2024 07:20","0.02 m","40.6 m³/h","","01.07.2024 16:56"
"Muuli tee","31.05.2024 07:15","0.02 m","39.5 m³/h","","01.07.2024 16:56"
"Muuli tee","31.05.2024 07:10","0.02 m","37.99 m³/h","","01.07.2024 16:56"
"Muuli tee","31.05.2024 07:05","0.02 m","34.01 m³/h","","01.07.2024 16:56"
"Muuli tee","31.05.2024 07:00","0.02 m","36.62 m³/h","","01.07.2024 16:56"
"Muuli tee","31.05.2024 06:55","0.02 m","36.62 m³/h","","01.07.2024 16:56"
"Muuli tee","31.05.2024 06:50","0.02 m","36.75 m³/h","","01.07.2024 16:56"
"Muuli tee","31.05.2024 06:45","0.02 m","37.99 m³/h","","01.07.2024 16:56"
"Muuli tee","31.05.2024 06:40","0.02 m","36.62 m³/h","","01.07.2024 16:56"
"Muuli tee","31.05.2024 06:35","0.02 m","35.38 m³/h","","01.07.2024 16:56"
"Muuli tee","31.05.2024 06:30","0.02 m","36.75 m³/h","","01.07.2024 16:56"
"Muuli tee","31.05.2024 06:25","0.02 m","37.99 m³/h","","01.07.2024 16:56"
"Muuli tee","31.05.2024 06:20","0.02 m","36.75 m³/h","","01.07.2024 16:56"
"Muuli tee","31.05.2024 06:15","0.02 m","39.23 m³/h","","01.07.2024 16:56"
"Muuli tee","31.05.2024 06:10","0.02 m","37.72 m³/h","","01.07.2024 16:56"
"Muuli tee","31.05.2024 06:05","0.02 m","35.38 m³/h","","01.07.2024 16:56"
"Muuli tee","31.05.2024 06:00","0.02 m","37.72 m³/h","","01.07.2024 16:56"
"Muuli tee","31.05.2024 05:55","0.02 m","37.85 m³/h","","01.07.2024 16:56"
"Muuli tee","31.05.2024 05:50","0.02 m","35.52 m³/h","","01.07.2024 16:56"
"Muuli tee","31.05.2024 05:45","0.02 m","40.74 m³/h","","01.07.2024 16:56"
"Muuli tee","31.05.2024 05:40","0.02 m","34.01 m³/h","","01.07.2024 16:56"
"Muuli tee","31.05.2024 05:35","0.02 m","40.6 m³/h","","01.07.2024 16:56"
"Muuli tee","31.05.2024 05:30","0.02 m","37.99 m³/h","","01.07.2024 16:56"
"Muuli tee","31.05.2024 05:25","0.02 m","39.37 m³/h","","01.07.2024 16:56"
"Muuli tee","31.05.2024 05:20","0.02 m","36.62 m³/h","","01.07.2024 16:56"
"Muuli tee","31.05.2024 05:15","0.02 m","38.13 m³/h","","01.07.2024 16:56"
"Muuli tee","31.05.2024 05:10","0.02 m","38.27 m³/h","","01.07.2024 16:56"
"Muuli tee","31.05.2024 05:05","0.02 m","39.5 m³/h","","01.07.2024 16:56"
"Muuli tee","31.05.2024 05:00","0.02 m","38.13 m³/h","","01.07.2024 16:56"
"Muuli tee","31.05.2024 04:55","0.02 m","37.99 m³/h","","01.07.2024 16:56"
"Muuli tee","31.05.2024 04:50","0.02 m","38.13 m³/h","","01.07.2024 16:56"
"Muuli tee","31.05.2024 04:45","0.02 m","38.13 m³/h","","01.07.2024 16:56"
"Muuli tee","31.05.2024 04:40","0.02 m","38.27 m³/h","","01.07.2024 16:56"
"Muuli tee","31.05.2024 04:35","0.02 m","38.27 m³/h","","01.07.2024 16:56"
"Muuli tee","31.05.2024 04:30","0.02 m","37.85 m³/h","","01.07.2024 16:56"
"Muuli tee","31.05.2024 04:25","0.02 m","38.27 m³/h","","01.07.2024 16:56"
"Muuli tee","31.05.2024 04:20","0.02 m","38.13 m³/h","","01.07.2024 16:56"
"Muuli tee","31.05.2024 04:15","0.02 m","38.13 m³/h","","01.07.2024 16:56"
"Muuli tee","31.05.2024 04:10","0.02 m","38.13 m³/h","","01.07.2024 16:56"
"Muuli tee","31.05.2024 04:05","0.02 m","39.5 m³/h","","01.07.2024 16:56"
"Muuli tee","31.05.2024 04:00","0.02 m","37.99 m³/h","","01.07.2024 16:56"
"Muuli tee","31.05.2024 03:55","0.02 m","39.5 m³/h","","01.07.2024 16:56"
"Muuli tee","31.05.2024 03:50","0.02 m","39.5 m³/h","","01.07.2024 16:56"
"Muuli tee","31.05.2024 03:45","0.02 m","37.99 m³/h","","01.07.2024 16:56"
"Muuli tee","31.05.2024 03:40","0.02 m","39.5 m³/h","","01.07.2024 16:56"
"Muuli tee","31.05.2024 03:35","0.02 m","39.5 m³/h","","01.07.2024 16:56"
"Muuli tee","31.05.2024 03:30","0.02 m","39.5 m³/h","","01.07.2024 16:56"
"Muuli tee","31.05.2024 03:25","0.02 m","39.5 m³/h","","01.07.2024 16:56"
"Muuli tee","31.05.2024 03:20","0.02 m","38.13 m³/h","","01.07.2024 16:56"
"Muuli tee","31.05.2024 03:15","0.02 m","37.99 m³/h","","01.07.2024 16:56"
"Muuli tee","31.05.2024 03:10","0.02 m","36.89 m³/h","","01.07.2024 16:56"
"Muuli tee","31.05.2024 03:05","0.02 m","38.13 m³/h","","01.07.2024 16:56"
"Muuli tee","31.05.2024 03:00","0.02 m","36.75 m³/h","","01.07.2024 16:56"
"Muuli tee","31.05.2024 02:55","0.02 m","39.5 m³/h","","01.07.2024 16:56"
"Muuli tee","31.05.2024 02:50","0.02 m","39.23 m³/h","","01.07.2024 16:56"
"Muuli tee","31.05.2024 02:45","0.02 m","39.09 m³/h","","01.07.2024 16:56"
"Muuli tee","31.05.2024 02:40","0.02 m","39.5 m³/h","","01.07.2024 16:56"
"Muuli tee","31.05.2024 02:35","0.02 m","39.37 m³/h","","01.07.2024 16:56"
"Muuli tee","31.05.2024 02:30","0.02 m","39.5 m³/h","","01.07.2024 16:56"
"Muuli tee","31.05.2024 02:25","0.02 m","39.37 m³/h","","01.07.2024 16:56"
"Muuli tee","31.05.2024 02:20","0.02 m","36.75 m³/h","","01.07.2024 16:56"
"Muuli tee","31.05.2024 02:15","0.02 m","40.74 m³/h","","01.07.2024 16:56"
"Muuli tee","31.05.2024 02:10","0.02 m","36.75 m³/h","","01.07.2024 16:56"
"Muuli tee","31.05.2024 02:05","0.02 m","40.6 m³/h","","01.07.2024 16:56"
