"Seade","Mõõtmise aeg","elektrijuhtivus","hägusus","hapnik","pH","Laekumise aeg"
"Muuli VKM","29.02.2024 17:00","850 μS/cm","528.68 NTU","11.51 mg/L","7.57","29.02.2024 17:02"
"Muuli VKM","29.02.2024 16:55","850 μS/cm","527.93 NTU","11.53 mg/L","7.57","29.02.2024 16:57"
"Muuli VKM","29.02.2024 16:50","849 μS/cm","527.06 NTU","11.51 mg/L","7.57","29.02.2024 16:57"
"Muuli VKM","29.02.2024 16:45","849 μS/cm","526.14 NTU","11.54 mg/L","7.57","29.02.2024 16:47"
"Muuli VKM","29.02.2024 16:40","849 μS/cm","525.01 NTU","11.54 mg/L","7.58","29.02.2024 16:42"
"Muuli VKM","29.02.2024 16:35","849 μS/cm","523.45 NTU","11.55 mg/L","7.58","29.02.2024 16:37"
"Muuli VKM","29.02.2024 16:30","849 μS/cm","521.82 NTU","11.53 mg/L","7.58","29.02.2024 16:32"
"Muuli VKM","29.02.2024 16:25","849 μS/cm","520.12 NTU","11.53 mg/L","7.58","29.02.2024 16:27"
"Muuli VKM","29.02.2024 16:20","849 μS/cm","518.06 NTU","11.53 mg/L","7.58","29.02.2024 16:22"
"Muuli VKM","29.02.2024 16:15","848 μS/cm","515.82 NTU","11.55 mg/L","7.58","29.02.2024 16:17"
"Muuli VKM","29.02.2024 16:10","846 μS/cm","512.09 NTU","11.53 mg/L","7.58","29.02.2024 16:12"
"Muuli VKM","29.02.2024 16:05","845 μS/cm","500.82 NTU","11.51 mg/L","7.59","29.02.2024 16:07"
"Muuli VKM","29.02.2024 16:00","844 μS/cm","544.52 NTU","11.52 mg/L","7.59","29.02.2024 16:02"
"Muuli VKM","29.02.2024 15:55","844 μS/cm","533.37 NTU","11.55 mg/L","7.59","29.02.2024 15:57"
"Muuli VKM","29.02.2024 15:50","844 μS/cm","535.27 NTU","11.56 mg/L","7.59","29.02.2024 15:52"
"Muuli VKM","29.02.2024 15:45","844 μS/cm","538.09 NTU","11.51 mg/L","7.59","29.02.2024 15:47"
"Muuli VKM","29.02.2024 15:40","843 μS/cm","541.82 NTU","11.55 mg/L","7.59","29.02.2024 15:42"
"Muuli VKM","29.02.2024 15:35","843 μS/cm","546.99 NTU","11.54 mg/L","7.59","29.02.2024 15:37"
"Muuli VKM","29.02.2024 15:30","843 μS/cm","555.22 NTU","11.52 mg/L","7.6","29.02.2024 15:32"
"Muuli VKM","29.02.2024 15:25","844 μS/cm","568.58 NTU","11.52 mg/L","7.6","29.02.2024 15:27"
"Muuli VKM","29.02.2024 15:20","844 μS/cm","594.72 NTU","11.52 mg/L","7.6","29.02.2024 15:22"
"Muuli VKM","29.02.2024 15:15","845 μS/cm","685.18 NTU","11.56 mg/L","7.59","29.02.2024 15:17"
"Muuli VKM","29.02.2024 15:10","846 μS/cm","409.32 NTU","11.53 mg/L","7.59","29.02.2024 15:12"
"Muuli VKM","29.02.2024 15:05","846 μS/cm","180.54 NTU","11.59 mg/L","7.59","29.02.2024 15:07"
"Muuli VKM","29.02.2024 15:00","847 μS/cm","21.76 NTU","11.62 mg/L","7.59","29.02.2024 15:02"
"Muuli VKM","29.02.2024 14:55","847 μS/cm","21.95 NTU","11.64 mg/L","7.59","29.02.2024 14:57"
"Muuli VKM","29.02.2024 14:50","847 μS/cm","22.08 NTU","11.62 mg/L","7.59","29.02.2024 14:52"
"Muuli VKM","29.02.2024 14:45","847 μS/cm","22.2 NTU","11.61 mg/L","7.59","29.02.2024 14:47"
"Muuli VKM","29.02.2024 14:40","847 μS/cm","22.34 NTU","11.59 mg/L","7.59","29.02.2024 14:42"
"Muuli VKM","29.02.2024 14:35","848 μS/cm","22.5 NTU","11.6 mg/L","7.59","29.02.2024 14:37"
"Muuli VKM","29.02.2024 14:30","848 μS/cm","22.67 NTU","11.6 mg/L","7.59","29.02.2024 14:32"
"Muuli VKM","29.02.2024 14:25","847 μS/cm","22.79 NTU","11.59 mg/L","7.6","29.02.2024 14:27"
"Muuli VKM","29.02.2024 14:20","847 μS/cm","22.93 NTU","11.63 mg/L","7.6","29.02.2024 14:22"
"Muuli VKM","29.02.2024 14:15","848 μS/cm","23.07 NTU","11.58 mg/L","7.6","29.02.2024 14:17"
"Muuli VKM","29.02.2024 14:10","848 μS/cm","23.23 NTU","11.61 mg/L","7.6","29.02.2024 14:12"
"Muuli VKM","29.02.2024 14:05","848 μS/cm","23.48 NTU","11.6 mg/L","7.6","29.02.2024 14:07"
"Muuli VKM","29.02.2024 14:00","848 μS/cm","23.49 NTU","11.63 mg/L","7.61","29.02.2024 14:02"
"Muuli VKM","29.02.2024 13:55","848 μS/cm","23.57 NTU","11.61 mg/L","7.61","29.02.2024 13:57"
"Muuli VKM","29.02.2024 13:50","849 μS/cm","23.65 NTU","11.62 mg/L","7.61","29.02.2024 13:52"
"Muuli VKM","29.02.2024 13:45","852 μS/cm","23.71 NTU","11.6 mg/L","7.61","29.02.2024 13:47"
"Muuli VKM","29.02.2024 13:40","854 μS/cm","23.77 NTU","11.62 mg/L","7.61","29.02.2024 13:42"
"Muuli VKM","29.02.2024 13:35","856 μS/cm","23.86 NTU","11.59 mg/L","7.61","29.02.2024 13:37"
"Muuli VKM","29.02.2024 13:30","859 μS/cm","23.92 NTU","11.6 mg/L","7.61","29.02.2024 13:32"
"Muuli VKM","29.02.2024 13:25","861 μS/cm","23.95 NTU","11.61 mg/L","7.61","29.02.2024 13:27"
"Muuli VKM","29.02.2024 13:20","863 μS/cm","23.92 NTU","11.61 mg/L","7.61","29.02.2024 13:22"
"Muuli VKM","29.02.2024 13:15","865 μS/cm","22.76 NTU","11.6 mg/L","7.61","29.02.2024 13:17"
"Muuli VKM","29.02.2024 13:10","867 μS/cm","1924.84 NTU","11.59 mg/L","7.61","29.02.2024 13:12"
"Muuli VKM","29.02.2024 13:05","869 μS/cm","1578.59 NTU","11.6 mg/L","7.61","29.02.2024 13:07"
"Muuli VKM","29.02.2024 13:00","874 μS/cm","40.79 NTU","11.65 mg/L","7.58","29.02.2024 13:02"
"Muuli VKM","29.02.2024 12:55","874 μS/cm","41.12 NTU","11.63 mg/L","7.58","29.02.2024 12:57"
"Muuli VKM","29.02.2024 12:50","874 μS/cm","41.53 NTU","11.65 mg/L","7.59","29.02.2024 12:52"
"Muuli VKM","29.02.2024 12:45","874 μS/cm","41.94 NTU","11.68 mg/L","7.59","29.02.2024 12:47"
"Muuli VKM","29.02.2024 12:40","874 μS/cm","42.38 NTU","11.64 mg/L","7.59","29.02.2024 12:42"
"Muuli VKM","29.02.2024 12:35","874 μS/cm","42.93 NTU","11.67 mg/L","7.59","29.02.2024 12:37"
"Muuli VKM","29.02.2024 12:30","874 μS/cm","43.52 NTU","11.68 mg/L","7.59","29.02.2024 12:32"
"Muuli VKM","29.02.2024 12:25","874 μS/cm","44.11 NTU","11.66 mg/L","7.59","29.02.2024 12:27"
"Muuli VKM","29.02.2024 12:20","874 μS/cm","44.76 NTU","11.64 mg/L","7.59","29.02.2024 12:22"
"Muuli VKM","29.02.2024 12:15","874 μS/cm","45.68 NTU","11.7 mg/L","7.6","29.02.2024 12:17"
"Muuli VKM","29.02.2024 12:10","874 μS/cm","46.06 NTU","11.69 mg/L","7.6","29.02.2024 12:12"
"Muuli VKM","29.02.2024 12:05","874 μS/cm","46.46 NTU","11.69 mg/L","7.6","29.02.2024 12:07"
"Muuli VKM","29.02.2024 12:00","874 μS/cm","46.81 NTU","11.67 mg/L","7.6","29.02.2024 12:07"
"Muuli VKM","29.02.2024 11:55","872 μS/cm","47.24 NTU","11.68 mg/L","7.6","29.02.2024 11:57"
"Muuli VKM","29.02.2024 11:50","872 μS/cm","47.76 NTU","11.7 mg/L","7.6","29.02.2024 11:52"
"Muuli VKM","29.02.2024 11:45","875 μS/cm","48.23 NTU","11.67 mg/L","7.61","29.02.2024 11:47"
"Muuli VKM","29.02.2024 11:40","877 μS/cm","48.75 NTU","11.67 mg/L","7.61","29.02.2024 11:42"
"Muuli VKM","29.02.2024 11:35","880 μS/cm","49.45 NTU","11.68 mg/L","7.61","29.02.2024 11:37"
"Muuli VKM","29.02.2024 11:30","882 μS/cm","50.79 NTU","11.65 mg/L","7.61","29.02.2024 11:32"
"Muuli VKM","29.02.2024 11:25","885 μS/cm","56.19 NTU","11.65 mg/L","7.6","29.02.2024 11:27"
"Muuli VKM","29.02.2024 11:20","888 μS/cm","1026.86 NTU","11.68 mg/L","7.61","29.02.2024 11:22"
"Muuli VKM","29.02.2024 11:15","892 μS/cm","104.4 NTU","11.72 mg/L","7.6","29.02.2024 11:17"
"Muuli VKM","29.02.2024 11:10","896 μS/cm","40.99 NTU","11.73 mg/L","7.61","29.02.2024 11:12"
"Muuli VKM","29.02.2024 11:05","901 μS/cm","247 NTU","11.77 mg/L","7.62","29.02.2024 11:07"
"Muuli VKM","29.02.2024 11:00","903 μS/cm","237.39 NTU","11.73 mg/L","7.61","29.02.2024 11:02"
"Muuli VKM","29.02.2024 10:55","903 μS/cm","237.4 NTU","11.73 mg/L","7.62","29.02.2024 10:57"
"Muuli VKM","29.02.2024 10:50","903 μS/cm","237.63 NTU","11.74 mg/L","7.62","29.02.2024 10:52"
"Muuli VKM","29.02.2024 10:45","903 μS/cm","237.88 NTU","11.77 mg/L","7.62","29.02.2024 10:47"
"Muuli VKM","29.02.2024 10:40","904 μS/cm","238.23 NTU","11.74 mg/L","7.62","29.02.2024 10:42"
"Muuli VKM","29.02.2024 10:35","903 μS/cm","238.69 NTU","11.75 mg/L","7.62","29.02.2024 10:37"
"Muuli VKM","29.02.2024 10:30","904 μS/cm","239.16 NTU","11.73 mg/L","7.62","29.02.2024 10:32"
"Muuli VKM","29.02.2024 10:25","903 μS/cm","239.73 NTU","11.75 mg/L","7.62","29.02.2024 10:27"
"Muuli VKM","29.02.2024 10:20","903 μS/cm","240.39 NTU","11.72 mg/L","7.62","29.02.2024 10:22"
"Muuli VKM","29.02.2024 10:15","903 μS/cm","241.22 NTU","11.74 mg/L","7.62","29.02.2024 10:17"
"Muuli VKM","29.02.2024 10:10","904 μS/cm","242.28 NTU","11.75 mg/L","7.62","29.02.2024 10:12"
"Muuli VKM","29.02.2024 10:05","904 μS/cm","244.8 NTU","11.75 mg/L","7.62","29.02.2024 10:07"
"Muuli VKM","29.02.2024 10:00","903 μS/cm","230.15 NTU","11.74 mg/L","7.63","29.02.2024 10:02"
"Muuli VKM","29.02.2024 09:55","903 μS/cm","229.13 NTU","11.77 mg/L","7.63","29.02.2024 09:57"
"Muuli VKM","29.02.2024 09:50","903 μS/cm","227.76 NTU","11.75 mg/L","7.63","29.02.2024 09:52"
"Muuli VKM","29.02.2024 09:45","901 μS/cm","225.81 NTU","11.74 mg/L","7.63","29.02.2024 09:47"
"Muuli VKM","29.02.2024 09:40","899 μS/cm","223.09 NTU","11.72 mg/L","7.63","29.02.2024 09:42"
"Muuli VKM","29.02.2024 09:35","897 μS/cm","219.09 NTU","11.74 mg/L","7.63","29.02.2024 09:37"
"Muuli VKM","29.02.2024 09:30","895 μS/cm","212.75 NTU","11.74 mg/L","7.63","29.02.2024 09:32"
