"Seade","Mõõtmise aeg","elektrijuhtivus","hägusus","hapnik","pH","Laekumise aeg"
"Muuli VKM","26.01.2024 00:00","954 μS/cm","110.66 NTU","11.57 mg/L","7.57","26.01.2024 00:02"
"Muuli VKM","25.01.2024 23:55","953 μS/cm","113.92 NTU","11.56 mg/L","7.57","25.01.2024 23:57"
"Muuli VKM","25.01.2024 23:50","952 μS/cm","118.78 NTU","11.57 mg/L","7.57","25.01.2024 23:52"
"Muuli VKM","25.01.2024 23:45","958 μS/cm","126.61 NTU","11.62 mg/L","7.57","25.01.2024 23:47"
"Muuli VKM","25.01.2024 23:40","965 μS/cm","134.52 NTU","11.59 mg/L","7.57","25.01.2024 23:42"
"Muuli VKM","25.01.2024 23:35","971 μS/cm","142.5 NTU","11.62 mg/L","7.57","25.01.2024 23:37"
"Muuli VKM","25.01.2024 23:30","977 μS/cm","150.51 NTU","11.64 mg/L","7.57","25.01.2024 23:32"
"Muuli VKM","25.01.2024 23:25","984 μS/cm","158.73 NTU","11.67 mg/L","7.57","25.01.2024 23:27"
"Muuli VKM","25.01.2024 23:20","990 μS/cm","167.17 NTU","11.7 mg/L","7.57","25.01.2024 23:22"
"Muuli VKM","25.01.2024 23:15","995 μS/cm","175.87 NTU","11.69 mg/L","7.57","25.01.2024 23:17"
"Muuli VKM","25.01.2024 23:10","999 μS/cm","178.59 NTU","11.64 mg/L","7.58","25.01.2024 23:12"
"Muuli VKM","25.01.2024 23:05","1004 μS/cm","182.08 NTU","11.45 mg/L","7.58","25.01.2024 23:07"
"Muuli VKM","25.01.2024 23:00","1010 μS/cm","183.84 NTU","11.27 mg/L","7.54","25.01.2024 23:02"
"Muuli VKM","25.01.2024 22:55","1010 μS/cm","182.47 NTU","11.3 mg/L","7.54","25.01.2024 22:57"
"Muuli VKM","25.01.2024 22:50","1011 μS/cm","180.98 NTU","11.29 mg/L","7.54","25.01.2024 22:52"
"Muuli VKM","25.01.2024 22:45","1011 μS/cm","179.49 NTU","11.31 mg/L","7.55","25.01.2024 22:47"
"Muuli VKM","25.01.2024 22:40","1011 μS/cm","178 NTU","11.32 mg/L","7.55","25.01.2024 22:42"
"Muuli VKM","25.01.2024 22:35","1011 μS/cm","176.41 NTU","11.34 mg/L","7.55","25.01.2024 22:37"
"Muuli VKM","25.01.2024 22:30","1011 μS/cm","174.69 NTU","11.33 mg/L","7.55","25.01.2024 22:32"
"Muuli VKM","25.01.2024 22:25","1012 μS/cm","172.95 NTU","11.36 mg/L","7.55","25.01.2024 22:27"
"Muuli VKM","25.01.2024 22:20","1012 μS/cm","171.04 NTU","11.37 mg/L","7.55","25.01.2024 22:22"
"Muuli VKM","25.01.2024 22:15","1012 μS/cm","169.09 NTU","11.36 mg/L","7.55","25.01.2024 22:17"
"Muuli VKM","25.01.2024 22:10","1011 μS/cm","167.15 NTU","11.38 mg/L","7.56","25.01.2024 22:12"
"Muuli VKM","25.01.2024 22:05","1011 μS/cm","165.01 NTU","11.41 mg/L","7.56","25.01.2024 22:07"
"Muuli VKM","25.01.2024 22:00","1014 μS/cm","163.06 NTU","11.42 mg/L","7.56","25.01.2024 22:02"
"Muuli VKM","25.01.2024 21:55","1019 μS/cm","160.17 NTU","11.43 mg/L","7.56","25.01.2024 22:02"
"Muuli VKM","25.01.2024 21:50","1022 μS/cm","162.23 NTU","11.43 mg/L","7.56","25.01.2024 21:52"
"Muuli VKM","25.01.2024 21:45","1012 μS/cm","163.55 NTU","11.48 mg/L","7.56","25.01.2024 21:47"
"Muuli VKM","25.01.2024 21:40","1002 μS/cm","165.05 NTU","11.49 mg/L","7.56","25.01.2024 21:42"
"Muuli VKM","25.01.2024 21:35","991 μS/cm","166.68 NTU","11.49 mg/L","7.56","25.01.2024 21:37"
"Muuli VKM","25.01.2024 21:30","981 μS/cm","168.52 NTU","11.52 mg/L","7.57","25.01.2024 21:32"
"Muuli VKM","25.01.2024 21:25","970 μS/cm","170.46 NTU","11.54 mg/L","7.57","25.01.2024 21:27"
"Muuli VKM","25.01.2024 21:20","960 μS/cm","172.54 NTU","11.56 mg/L","7.57","25.01.2024 21:22"
"Muuli VKM","25.01.2024 21:15","947 μS/cm","175.07 NTU","11.48 mg/L","7.56","25.01.2024 21:17"
"Muuli VKM","25.01.2024 21:10","932 μS/cm","177.58 NTU","11.31 mg/L","7.54","25.01.2024 21:12"
"Muuli VKM","25.01.2024 21:05","918 μS/cm","181.22 NTU","11.19 mg/L","7.52","25.01.2024 21:07"
"Muuli VKM","25.01.2024 21:00","907 μS/cm","180.1 NTU","11.29 mg/L","7.54","25.01.2024 21:02"
"Muuli VKM","25.01.2024 20:55","907 μS/cm","179.97 NTU","11.32 mg/L","7.54","25.01.2024 20:57"
"Muuli VKM","25.01.2024 20:50","907 μS/cm","179.74 NTU","11.31 mg/L","7.54","25.01.2024 20:52"
"Muuli VKM","25.01.2024 20:45","907 μS/cm","179.7 NTU","11.31 mg/L","7.54","25.01.2024 20:47"
"Muuli VKM","25.01.2024 20:40","907 μS/cm","179.58 NTU","11.34 mg/L","7.54","25.01.2024 20:42"
"Muuli VKM","25.01.2024 20:35","907 μS/cm","179.15 NTU","11.37 mg/L","7.54","25.01.2024 20:37"
"Muuli VKM","25.01.2024 20:30","907 μS/cm","178.26 NTU","11.36 mg/L","7.54","25.01.2024 20:32"
"Muuli VKM","25.01.2024 20:25","907 μS/cm","177.02 NTU","11.39 mg/L","7.54","25.01.2024 20:27"
"Muuli VKM","25.01.2024 20:20","907 μS/cm","175.54 NTU","11.39 mg/L","7.54","25.01.2024 20:22"
"Muuli VKM","25.01.2024 20:15","908 μS/cm","173.41 NTU","11.41 mg/L","7.55","25.01.2024 20:17"
"Muuli VKM","25.01.2024 20:10","908 μS/cm","170.64 NTU","11.44 mg/L","7.55","25.01.2024 20:12"
"Muuli VKM","25.01.2024 20:05","908 μS/cm","167.11 NTU","11.45 mg/L","7.55","25.01.2024 20:07"
"Muuli VKM","25.01.2024 20:00","909 μS/cm","163.92 NTU","11.48 mg/L","7.55","25.01.2024 20:02"
"Muuli VKM","25.01.2024 19:55","911 μS/cm","158.72 NTU","11.51 mg/L","7.55","25.01.2024 19:57"
"Muuli VKM","25.01.2024 19:50","912 μS/cm","152.82 NTU","11.52 mg/L","7.55","25.01.2024 19:52"
"Muuli VKM","25.01.2024 19:45","912 μS/cm","144.61 NTU","11.52 mg/L","7.55","25.01.2024 19:47"
"Muuli VKM","25.01.2024 19:40","911 μS/cm","136.81 NTU","11.55 mg/L","7.55","25.01.2024 19:42"
"Muuli VKM","25.01.2024 19:35","910 μS/cm","129.17 NTU","11.58 mg/L","7.55","25.01.2024 19:37"
"Muuli VKM","25.01.2024 19:30","908 μS/cm","121.79 NTU","11.67 mg/L","7.55","25.01.2024 19:32"
"Muuli VKM","25.01.2024 19:25","907 μS/cm","115.02 NTU","11.64 mg/L","7.56","25.01.2024 19:27"
"Muuli VKM","25.01.2024 19:20","906 μS/cm","108.9 NTU","11.66 mg/L","7.55","25.01.2024 19:22"
"Muuli VKM","25.01.2024 19:15","905 μS/cm","103.54 NTU","11.73 mg/L","7.55","25.01.2024 19:17"
"Muuli VKM","25.01.2024 19:10","902 μS/cm","98.02 NTU","11.75 mg/L","7.55","25.01.2024 19:12"
"Muuli VKM","25.01.2024 19:05","900 μS/cm","94.35 NTU","11.74 mg/L","7.54","25.01.2024 19:07"
"Muuli VKM","25.01.2024 19:00","890 μS/cm","91.43 NTU","11.41 mg/L","7.52","25.01.2024 19:02"
"Muuli VKM","25.01.2024 18:55","890 μS/cm","91.13 NTU","11.44 mg/L","7.52","25.01.2024 18:57"
"Muuli VKM","25.01.2024 18:50","890 μS/cm","90.89 NTU","11.46 mg/L","7.52","25.01.2024 18:52"
"Muuli VKM","25.01.2024 18:45","890 μS/cm","90.71 NTU","11.45 mg/L","7.52","25.01.2024 18:47"
"Muuli VKM","25.01.2024 18:40","890 μS/cm","90.31 NTU","11.48 mg/L","7.52","25.01.2024 18:42"
"Muuli VKM","25.01.2024 18:35","890 μS/cm","89.73 NTU","11.47 mg/L","7.52","25.01.2024 18:37"
"Muuli VKM","25.01.2024 18:30","890 μS/cm","88.92 NTU","11.46 mg/L","7.52","25.01.2024 18:32"
"Muuli VKM","25.01.2024 18:25","890 μS/cm","87.86 NTU","11.5 mg/L","7.52","25.01.2024 18:27"
"Muuli VKM","25.01.2024 18:20","890 μS/cm","86.41 NTU","11.53 mg/L","7.52","25.01.2024 18:22"
"Muuli VKM","25.01.2024 18:15","890 μS/cm","84.74 NTU","11.52 mg/L","7.52","25.01.2024 18:17"
"Muuli VKM","25.01.2024 18:10","891 μS/cm","82.87 NTU","11.55 mg/L","7.52","25.01.2024 18:12"
"Muuli VKM","25.01.2024 18:05","892 μS/cm","80.87 NTU","11.55 mg/L","7.52","25.01.2024 18:07"
"Muuli VKM","25.01.2024 18:00","892 μS/cm","79.03 NTU","11.56 mg/L","7.52","25.01.2024 18:02"
"Muuli VKM","25.01.2024 17:55","892 μS/cm","77.62 NTU","11.6 mg/L","7.52","25.01.2024 17:57"
"Muuli VKM","25.01.2024 17:50","893 μS/cm","84.86 NTU","11.63 mg/L","7.52","25.01.2024 17:52"
"Muuli VKM","25.01.2024 17:45","894 μS/cm","91.37 NTU","11.65 mg/L","7.52","25.01.2024 17:47"
"Muuli VKM","25.01.2024 17:40","896 μS/cm","97.99 NTU","11.67 mg/L","7.52","25.01.2024 17:42"
"Muuli VKM","25.01.2024 17:35","898 μS/cm","104.8 NTU","11.67 mg/L","7.52","25.01.2024 17:37"
"Muuli VKM","25.01.2024 17:30","899 μS/cm","111.85 NTU","11.69 mg/L","7.52","25.01.2024 17:32"
"Muuli VKM","25.01.2024 17:25","900 μS/cm","119.05 NTU","11.73 mg/L","7.52","25.01.2024 17:27"
"Muuli VKM","25.01.2024 17:20","901 μS/cm","126.42 NTU","11.77 mg/L","7.52","25.01.2024 17:22"
"Muuli VKM","25.01.2024 17:15","902 μS/cm","133.79 NTU","11.81 mg/L","7.52","25.01.2024 17:17"
"Muuli VKM","25.01.2024 17:10","903 μS/cm","140.83 NTU","11.82 mg/L","7.51","25.01.2024 17:12"
"Muuli VKM","25.01.2024 17:05","904 μS/cm","147.31 NTU","11.75 mg/L","7.51","25.01.2024 17:07"
"Muuli VKM","25.01.2024 17:00","896 μS/cm","145.19 NTU","11.37 mg/L","7.49","25.01.2024 17:02"
"Muuli VKM","25.01.2024 16:55","896 μS/cm","143.89 NTU","11.37 mg/L","7.49","25.01.2024 16:57"
"Muuli VKM","25.01.2024 16:50","896 μS/cm","142.37 NTU","11.42 mg/L","7.49","25.01.2024 16:52"
"Muuli VKM","25.01.2024 16:45","896 μS/cm","140.61 NTU","11.43 mg/L","7.49","25.01.2024 16:47"
"Muuli VKM","25.01.2024 16:40","896 μS/cm","138.71 NTU","11.4 mg/L","7.49","25.01.2024 16:42"
"Muuli VKM","25.01.2024 16:35","896 μS/cm","136.63 NTU","11.44 mg/L","7.49","25.01.2024 16:37"
"Muuli VKM","25.01.2024 16:30","896 μS/cm","134.32 NTU","11.45 mg/L","7.49","25.01.2024 16:32"
"Muuli VKM","25.01.2024 16:25","896 μS/cm","131.92 NTU","11.47 mg/L","7.49","25.01.2024 16:27"
"Muuli VKM","25.01.2024 16:20","896 μS/cm","129.55 NTU","11.46 mg/L","7.5","25.01.2024 16:22"
"Muuli VKM","25.01.2024 16:15","896 μS/cm","127.3 NTU","11.5 mg/L","7.5","25.01.2024 16:17"
"Muuli VKM","25.01.2024 16:10","896 μS/cm","125.18 NTU","11.51 mg/L","7.5","25.01.2024 16:12"
"Muuli VKM","25.01.2024 16:05","896 μS/cm","123.24 NTU","11.53 mg/L","7.5","25.01.2024 16:07"
"Muuli VKM","25.01.2024 16:00","897 μS/cm","119.78 NTU","11.56 mg/L","7.5","25.01.2024 16:02"
"Muuli VKM","25.01.2024 15:55","897 μS/cm","115.34 NTU","11.57 mg/L","7.5","25.01.2024 15:57"
"Muuli VKM","25.01.2024 15:50","898 μS/cm","112.78 NTU","11.63 mg/L","7.5","25.01.2024 15:52"
"Muuli VKM","25.01.2024 15:45","914 μS/cm","111.36 NTU","11.59 mg/L","7.5","25.01.2024 15:47"
"Muuli VKM","25.01.2024 15:40","929 μS/cm","109.95 NTU","11.61 mg/L","7.5","25.01.2024 15:42"
"Muuli VKM","25.01.2024 15:35","945 μS/cm","108.5 NTU","11.65 mg/L","7.5","25.01.2024 15:37"
"Muuli VKM","25.01.2024 15:30","960 μS/cm","106.79 NTU","11.69 mg/L","7.5","25.01.2024 15:32"
"Muuli VKM","25.01.2024 15:25","975 μS/cm","104.59 NTU","11.72 mg/L","7.5","25.01.2024 15:27"
"Muuli VKM","25.01.2024 15:20","990 μS/cm","101.43 NTU","11.78 mg/L","7.5","25.01.2024 15:22"
"Muuli VKM","25.01.2024 15:15","1004 μS/cm","96.1 NTU","11.83 mg/L","7.5","25.01.2024 15:17"
"Muuli VKM","25.01.2024 15:10","1019 μS/cm","94.51 NTU","11.81 mg/L","7.51","25.01.2024 15:12"
"Muuli VKM","25.01.2024 15:05","1033 μS/cm","102.75 NTU","11.78 mg/L","7.53","25.01.2024 15:07"
"Muuli VKM","25.01.2024 15:00","1036 μS/cm","37.45 NTU","11.08 mg/L","7.49","25.01.2024 15:02"
"Muuli VKM","25.01.2024 14:55","1036 μS/cm","39.19 NTU","11.09 mg/L","7.49","25.01.2024 14:57"
"Muuli VKM","25.01.2024 14:50","1036 μS/cm","39.66 NTU","11.13 mg/L","7.5","25.01.2024 14:52"
"Muuli VKM","25.01.2024 14:45","1036 μS/cm","40.22 NTU","11.15 mg/L","7.5","25.01.2024 14:47"
"Muuli VKM","25.01.2024 14:40","1037 μS/cm","40.89 NTU","11.16 mg/L","7.5","25.01.2024 14:42"
"Muuli VKM","25.01.2024 14:35","1036 μS/cm","41.62 NTU","11.23 mg/L","7.5","25.01.2024 14:37"
"Muuli VKM","25.01.2024 14:30","1037 μS/cm","42.55 NTU","11.24 mg/L","7.5","25.01.2024 14:32"
"Muuli VKM","25.01.2024 14:25","1037 μS/cm","43.87 NTU","11.32 mg/L","7.5","25.01.2024 14:27"
"Muuli VKM","25.01.2024 14:20","1037 μS/cm","45.74 NTU","11.37 mg/L","7.49","25.01.2024 14:22"
"Muuli VKM","25.01.2024 14:15","1038 μS/cm","48.32 NTU","11.48 mg/L","7.49","25.01.2024 14:17"
"Muuli VKM","25.01.2024 14:10","1038 μS/cm","52.21 NTU","11.64 mg/L","7.49","25.01.2024 14:12"
"Muuli VKM","25.01.2024 14:05","1038 μS/cm","55.87 NTU","11.94 mg/L","7.49","25.01.2024 14:07"
"Muuli VKM","25.01.2024 14:00","170 μS/cm","671.23 NTU","10.73 mg/L","7.47","25.01.2024 14:02"
"Muuli VKM","25.01.2024 13:55","1065 μS/cm","698.69 NTU","10.71 mg/L","7.47","25.01.2024 13:57"
"Muuli VKM","25.01.2024 13:50","1076 μS/cm","693.11 NTU","10.72 mg/L","7.47","25.01.2024 13:52"
"Muuli VKM","25.01.2024 13:45","1087 μS/cm","689.41 NTU","10.72 mg/L","7.48","25.01.2024 13:47"
"Muuli VKM","25.01.2024 13:40","1099 μS/cm","685.47 NTU","10.71 mg/L","7.48","25.01.2024 13:42"
"Muuli VKM","25.01.2024 13:35","1110 μS/cm","681.3 NTU","10.74 mg/L","7.49","25.01.2024 13:37"
"Muuli VKM","25.01.2024 13:30","1122 μS/cm","676.43 NTU","10.68 mg/L","7.49","25.01.2024 13:32"
"Muuli VKM","25.01.2024 13:25","1134 μS/cm","671.12 NTU","10.67 mg/L","7.5","25.01.2024 13:27"
"Muuli VKM","25.01.2024 13:20","1147 μS/cm","664.96 NTU","10.68 mg/L","7.5","25.01.2024 13:22"
"Muuli VKM","25.01.2024 13:15","1159 μS/cm","657.41 NTU","10.72 mg/L","7.49","25.01.2024 13:17"
"Muuli VKM","25.01.2024 13:10","1170 μS/cm","631.3 NTU","10.72 mg/L","7.48","25.01.2024 13:12"
"Muuli VKM","25.01.2024 13:05","1177 μS/cm","597.37 NTU","10.72 mg/L","7.45","25.01.2024 13:07"
"Muuli VKM","25.01.2024 13:00","1171 μS/cm","598.02 NTU","10.62 mg/L","7.44","25.01.2024 13:02"
"Muuli VKM","25.01.2024 12:55","1171 μS/cm","599.52 NTU","10.61 mg/L","7.44","25.01.2024 12:57"
"Muuli VKM","25.01.2024 12:50","1171 μS/cm","601.28 NTU","10.6 mg/L","7.45","25.01.2024 12:52"
"Muuli VKM","25.01.2024 12:45","1171 μS/cm","603.41 NTU","10.62 mg/L","7.45","25.01.2024 12:47"
"Muuli VKM","25.01.2024 12:40","1172 μS/cm","605.82 NTU","10.64 mg/L","7.45","25.01.2024 12:42"
"Muuli VKM","25.01.2024 12:35","1172 μS/cm","608.75 NTU","10.61 mg/L","7.46","25.01.2024 12:37"
"Muuli VKM","25.01.2024 12:30","1172 μS/cm","612.81 NTU","10.62 mg/L","7.46","25.01.2024 12:32"
"Muuli VKM","25.01.2024 12:25","1172 μS/cm","618.11 NTU","10.61 mg/L","7.47","25.01.2024 12:27"
"Muuli VKM","25.01.2024 12:20","1172 μS/cm","623.61 NTU","10.65 mg/L","7.47","25.01.2024 12:22"
"Muuli VKM","25.01.2024 12:15","1172 μS/cm","629.57 NTU","10.63 mg/L","7.47","25.01.2024 12:17"
"Muuli VKM","25.01.2024 12:10","1172 μS/cm","636.21 NTU","10.63 mg/L","7.48","25.01.2024 12:12"
"Muuli VKM","25.01.2024 12:05","1172 μS/cm","643.6 NTU","10.62 mg/L","7.48","25.01.2024 12:07"
"Muuli VKM","25.01.2024 12:00","1172 μS/cm","640.6 NTU","10.6 mg/L","7.49","25.01.2024 12:02"
"Muuli VKM","25.01.2024 11:55","1172 μS/cm","668.34 NTU","10.64 mg/L","7.49","25.01.2024 11:57"
"Muuli VKM","25.01.2024 11:50","1171 μS/cm","678.02 NTU","10.62 mg/L","7.49","25.01.2024 11:52"
"Muuli VKM","25.01.2024 11:45","1169 μS/cm","675.6 NTU","10.64 mg/L","7.5","25.01.2024 11:47"
"Muuli VKM","25.01.2024 11:40","1167 μS/cm","672.06 NTU","10.62 mg/L","7.5","25.01.2024 11:42"
"Muuli VKM","25.01.2024 11:35","1165 μS/cm","667.35 NTU","10.62 mg/L","7.5","25.01.2024 11:37"
"Muuli VKM","25.01.2024 11:30","1163 μS/cm","662.46 NTU","10.64 mg/L","7.51","25.01.2024 11:32"
"Muuli VKM","25.01.2024 11:25","1161 μS/cm","657.29 NTU","10.62 mg/L","7.51","25.01.2024 11:32"
"Muuli VKM","25.01.2024 11:20","1159 μS/cm","651.63 NTU","10.62 mg/L","7.5","25.01.2024 11:22"
"Muuli VKM","25.01.2024 11:15","1156 μS/cm","641.47 NTU","10.64 mg/L","7.49","25.01.2024 11:17"
"Muuli VKM","25.01.2024 11:10","1154 μS/cm","641.55 NTU","10.64 mg/L","7.48","25.01.2024 11:12"
"Muuli VKM","25.01.2024 11:05","1153 μS/cm","610.43 NTU","10.67 mg/L","7.45","25.01.2024 11:07"
"Muuli VKM","25.01.2024 11:00","1147 μS/cm","603.94 NTU","10.6 mg/L","7.45","25.01.2024 11:02"
"Muuli VKM","25.01.2024 10:55","1146 μS/cm","609.18 NTU","10.6 mg/L","7.45","25.01.2024 10:57"
"Muuli VKM","25.01.2024 10:50","1145 μS/cm","614.29 NTU","10.59 mg/L","7.45","25.01.2024 10:52"
"Muuli VKM","25.01.2024 10:45","1144 μS/cm","619.48 NTU","10.61 mg/L","7.46","25.01.2024 10:47"
"Muuli VKM","25.01.2024 10:40","1143 μS/cm","624.62 NTU","10.59 mg/L","7.46","25.01.2024 10:42"
"Muuli VKM","25.01.2024 10:35","1142 μS/cm","629.5 NTU","10.6 mg/L","7.46","25.01.2024 10:37"
"Muuli VKM","25.01.2024 10:30","1141 μS/cm","634.09 NTU","10.62 mg/L","7.46","25.01.2024 10:32"
"Muuli VKM","25.01.2024 10:25","1140 μS/cm","639.22 NTU","10.59 mg/L","7.47","25.01.2024 10:27"
"Muuli VKM","25.01.2024 10:20","1138 μS/cm","644.33 NTU","10.62 mg/L","7.47","25.01.2024 10:22"
"Muuli VKM","25.01.2024 10:15","1137 μS/cm","649.53 NTU","10.61 mg/L","7.47","25.01.2024 10:17"
"Muuli VKM","25.01.2024 10:10","1135 μS/cm","647.91 NTU","10.62 mg/L","7.48","25.01.2024 10:12"
"Muuli VKM","25.01.2024 10:05","1134 μS/cm","647.07 NTU","10.61 mg/L","7.48","25.01.2024 10:07"
"Muuli VKM","25.01.2024 10:00","1129 μS/cm","636.88 NTU","10.6 mg/L","7.48","25.01.2024 10:02"
"Muuli VKM","25.01.2024 09:55","1120 μS/cm","658.05 NTU","10.62 mg/L","7.49","25.01.2024 09:57"
"Muuli VKM","25.01.2024 09:50","1108 μS/cm","655.1 NTU","10.61 mg/L","7.49","25.01.2024 09:52"
"Muuli VKM","25.01.2024 09:45","1095 μS/cm","647.59 NTU","10.6 mg/L","7.49","25.01.2024 09:47"
"Muuli VKM","25.01.2024 09:40","1081 μS/cm","640.34 NTU","10.62 mg/L","7.49","25.01.2024 09:42"
"Muuli VKM","25.01.2024 09:35","1068 μS/cm","633.49 NTU","10.6 mg/L","7.49","25.01.2024 09:37"
"Muuli VKM","25.01.2024 09:30","1055 μS/cm","626.66 NTU","10.61 mg/L","7.49","25.01.2024 09:32"
"Muuli VKM","25.01.2024 09:25","1043 μS/cm","619.94 NTU","10.61 mg/L","7.49","25.01.2024 09:27"
"Muuli VKM","25.01.2024 09:20","1030 μS/cm","613.22 NTU","10.61 mg/L","7.48","25.01.2024 09:22"
"Muuli VKM","25.01.2024 09:15","1015 μS/cm","605.5 NTU","10.63 mg/L","7.46","25.01.2024 09:17"
"Muuli VKM","25.01.2024 09:10","1003 μS/cm","606.84 NTU","10.59 mg/L","7.44","25.01.2024 09:12"
"Muuli VKM","25.01.2024 09:05","997 μS/cm","574.79 NTU","10.56 mg/L","7.42","25.01.2024 09:07"
"Muuli VKM","25.01.2024 09:00","996 μS/cm","575.49 NTU","10.57 mg/L","7.42","25.01.2024 09:02"
"Muuli VKM","25.01.2024 08:55","996 μS/cm","580.82 NTU","10.57 mg/L","7.43","25.01.2024 08:57"
"Muuli VKM","25.01.2024 08:50","995 μS/cm","586.13 NTU","10.55 mg/L","7.43","25.01.2024 08:52"
"Muuli VKM","25.01.2024 08:45","995 μS/cm","591.54 NTU","10.58 mg/L","7.43","25.01.2024 08:47"
"Muuli VKM","25.01.2024 08:40","995 μS/cm","597.01 NTU","10.57 mg/L","7.44","25.01.2024 08:42"
"Muuli VKM","25.01.2024 08:35","996 μS/cm","602.55 NTU","10.58 mg/L","7.44","25.01.2024 08:37"
"Muuli VKM","25.01.2024 08:30","995 μS/cm","608.13 NTU","10.57 mg/L","7.45","25.01.2024 08:32"
"Muuli VKM","25.01.2024 08:25","995 μS/cm","613.9 NTU","10.58 mg/L","7.45","25.01.2024 08:27"
"Muuli VKM","25.01.2024 08:20","995 μS/cm","620.22 NTU","10.58 mg/L","7.45","25.01.2024 08:22"
"Muuli VKM","25.01.2024 08:15","995 μS/cm","628.4 NTU","10.58 mg/L","7.46","25.01.2024 08:17"
"Muuli VKM","25.01.2024 08:10","994 μS/cm","627.21 NTU","10.59 mg/L","7.46","25.01.2024 08:12"
"Muuli VKM","25.01.2024 08:05","994 μS/cm","625.64 NTU","10.61 mg/L","7.47","25.01.2024 08:07"
"Muuli VKM","25.01.2024 08:00","993 μS/cm","633.81 NTU","10.58 mg/L","7.47","25.01.2024 08:02"
"Muuli VKM","25.01.2024 07:55","988 μS/cm","655.77 NTU","10.57 mg/L","7.47","25.01.2024 07:57"
"Muuli VKM","25.01.2024 07:50","978 μS/cm","659.54 NTU","10.58 mg/L","7.48","25.01.2024 07:52"
"Muuli VKM","25.01.2024 07:45","968 μS/cm","652.33 NTU","10.6 mg/L","7.48","25.01.2024 07:47"
"Muuli VKM","25.01.2024 07:40","958 μS/cm","645.1 NTU","10.56 mg/L","7.48","25.01.2024 07:42"
"Muuli VKM","25.01.2024 07:35","948 μS/cm","637.76 NTU","10.57 mg/L","7.48","25.01.2024 07:37"
"Muuli VKM","25.01.2024 07:30","939 μS/cm","630.18 NTU","10.58 mg/L","7.48","25.01.2024 07:32"
"Muuli VKM","25.01.2024 07:25","929 μS/cm","622.66 NTU","10.54 mg/L","7.48","25.01.2024 07:27"
"Muuli VKM","25.01.2024 07:20","919 μS/cm","615.98 NTU","10.55 mg/L","7.47","25.01.2024 07:22"
"Muuli VKM","25.01.2024 07:15","909 μS/cm","609.6 NTU","10.58 mg/L","7.45","25.01.2024 07:17"
"Muuli VKM","25.01.2024 07:10","900 μS/cm","593.51 NTU","10.56 mg/L","7.43","25.01.2024 07:12"
"Muuli VKM","25.01.2024 07:05","895 μS/cm","566.46 NTU","10.59 mg/L","7.41","25.01.2024 07:07"
"Muuli VKM","25.01.2024 07:00","889 μS/cm","557.6 NTU","10.49 mg/L","7.41","25.01.2024 07:02"
"Muuli VKM","25.01.2024 06:55","889 μS/cm","559.66 NTU","10.46 mg/L","7.41","25.01.2024 06:57"
"Muuli VKM","25.01.2024 06:50","889 μS/cm","561.8 NTU","10.49 mg/L","7.42","25.01.2024 06:52"
"Muuli VKM","25.01.2024 06:45","888 μS/cm","564.07 NTU","10.49 mg/L","7.42","25.01.2024 06:47"
"Muuli VKM","25.01.2024 06:40","888 μS/cm","566.51 NTU","10.51 mg/L","7.43","25.01.2024 06:42"
"Muuli VKM","25.01.2024 06:35","888 μS/cm","569.02 NTU","10.49 mg/L","7.43","25.01.2024 06:37"
"Muuli VKM","25.01.2024 06:30","888 μS/cm","571.62 NTU","10.47 mg/L","7.44","25.01.2024 06:32"
"Muuli VKM","25.01.2024 06:25","888 μS/cm","574.39 NTU","10.49 mg/L","7.44","25.01.2024 06:27"
"Muuli VKM","25.01.2024 06:20","887 μS/cm","577.21 NTU","10.48 mg/L","7.45","25.01.2024 06:22"
"Muuli VKM","25.01.2024 06:15","887 μS/cm","577.28 NTU","10.52 mg/L","7.45","25.01.2024 06:17"
"Muuli VKM","25.01.2024 06:10","887 μS/cm","577.86 NTU","10.52 mg/L","7.46","25.01.2024 06:12"
"Muuli VKM","25.01.2024 06:05","888 μS/cm","580.44 NTU","10.51 mg/L","7.46","25.01.2024 06:07"
"Muuli VKM","25.01.2024 06:00","887 μS/cm","593.17 NTU","10.55 mg/L","7.46","25.01.2024 06:02"
"Muuli VKM","25.01.2024 05:55","887 μS/cm","597.19 NTU","10.5 mg/L","7.47","25.01.2024 05:57"
"Muuli VKM","25.01.2024 05:50","888 μS/cm","605.31 NTU","10.49 mg/L","7.47","25.01.2024 05:52"
"Muuli VKM","25.01.2024 05:45","888 μS/cm","593.5 NTU","10.5 mg/L","7.48","25.01.2024 05:47"
"Muuli VKM","25.01.2024 05:40","889 μS/cm","581.65 NTU","10.51 mg/L","7.48","25.01.2024 05:42"
"Muuli VKM","25.01.2024 05:35","890 μS/cm","569.86 NTU","10.49 mg/L","7.48","25.01.2024 05:37"
"Muuli VKM","25.01.2024 05:30","890 μS/cm","557.99 NTU","10.49 mg/L","7.49","25.01.2024 05:32"
"Muuli VKM","25.01.2024 05:25","890 μS/cm","545.99 NTU","10.49 mg/L","7.49","25.01.2024 05:27"
"Muuli VKM","25.01.2024 05:20","890 μS/cm","533.58 NTU","10.49 mg/L","7.48","25.01.2024 05:22"
"Muuli VKM","25.01.2024 05:15","890 μS/cm","519.24 NTU","10.54 mg/L","7.47","25.01.2024 05:17"
"Muuli VKM","25.01.2024 05:10","890 μS/cm","493 NTU","10.52 mg/L","7.45","25.01.2024 05:12"
