"Seade","Mõõtmise aeg","veetase","vooluhulk","voolukiirus","Laekumise aeg"
"Muuli tee","30.11.2023 16:25","0.04 m","90.48 m³/h","","30.11.2023 16:27"
"Muuli tee","30.11.2023 16:20","0.04 m","96.52 m³/h","","30.11.2023 16:22"
"Muuli tee","30.11.2023 16:15","0.04 m","91.71 m³/h","","30.11.2023 16:17"
"Muuli tee","30.11.2023 16:10","0.04 m","91.71 m³/h","","30.11.2023 16:12"
"Muuli tee","30.11.2023 16:05","0.04 m","90.48 m³/h","","30.11.2023 16:07"
"Muuli tee","30.11.2023 16:00","0.04 m","87.87 m³/h","","30.11.2023 16:02"
"Muuli tee","30.11.2023 15:55","0.04 m","90.34 m³/h","","30.11.2023 15:57"
"Muuli tee","30.11.2023 15:50","0.04 m","95.15 m³/h","","30.11.2023 15:52"
"Muuli tee","30.11.2023 15:45","0.04 m","91.58 m³/h","","30.11.2023 15:47"
"Muuli tee","30.11.2023 15:40","0.04 m","95.15 m³/h","","30.11.2023 15:42"
"Muuli tee","30.11.2023 15:35","0.04 m","89.1 m³/h","","30.11.2023 15:37"
"Muuli tee","30.11.2023 15:30","0.04 m","89.24 m³/h","","30.11.2023 15:32"
"Muuli tee","30.11.2023 15:25","0.04 m","84.43 m³/h","","30.11.2023 15:27"
"Muuli tee","30.11.2023 15:20","0.04 m","90.34 m³/h","","30.11.2023 15:22"
"Muuli tee","30.11.2023 15:15","0.04 m","86.77 m³/h","","30.11.2023 15:17"
"Muuli tee","30.11.2023 15:10","0.04 m","91.44 m³/h","","30.11.2023 15:12"
"Muuli tee","30.11.2023 15:05","0.04 m","86.91 m³/h","","30.11.2023 15:07"
"Muuli tee","30.11.2023 15:00","0.04 m","89.38 m³/h","","30.11.2023 15:02"
"Muuli tee","30.11.2023 14:55","0.04 m","86.77 m³/h","","30.11.2023 14:57"
"Muuli tee","30.11.2023 14:50","0.04 m","88 m³/h","","30.11.2023 14:52"
"Muuli tee","30.11.2023 14:45","0.04 m","90.48 m³/h","","30.11.2023 14:47"
"Muuli tee","30.11.2023 14:40","0.04 m","91.58 m³/h","","30.11.2023 14:42"
"Muuli tee","30.11.2023 14:35","0.04 m","90.48 m³/h","","30.11.2023 14:37"
"Muuli tee","30.11.2023 14:30","0.04 m","91.71 m³/h","","30.11.2023 14:32"
"Muuli tee","30.11.2023 14:25","0.04 m","94.05 m³/h","","30.11.2023 14:27"
"Muuli tee","30.11.2023 14:20","0.04 m","96.52 m³/h","","30.11.2023 14:22"
"Muuli tee","30.11.2023 14:15","0.04 m","90.48 m³/h","","30.11.2023 14:17"
"Muuli tee","30.11.2023 14:10","0.04 m","86.91 m³/h","","30.11.2023 14:12"
"Muuli tee","30.11.2023 14:05","0.04 m","91.58 m³/h","","30.11.2023 14:07"
"Muuli tee","30.11.2023 14:00","0.04 m","89.24 m³/h","","30.11.2023 14:02"
"Muuli tee","30.11.2023 13:55","0.04 m","91.71 m³/h","","30.11.2023 13:57"
"Muuli tee","30.11.2023 13:50","0.04 m","89.79 m³/h","","30.11.2023 13:52"
"Muuli tee","30.11.2023 13:45","0.04 m","86.63 m³/h","","30.11.2023 13:47"
"Muuli tee","30.11.2023 13:40","0.04 m","85.53 m³/h","","30.11.2023 13:42"
